y_m,date,time,latitude,longitude,depth,magnitude,year,month,quarter,mag_cat
2008-11,2008-11-22,16:01:00,-4.46,101.12991,5,6.44,2008,11,4,strong
2008-12,2008-12-20,21:32:20,4.82,126.60133,381.7,6.46,2008,12,4,strong
2009-1,2009-01-03,19:43:54,-0.54,132.89247,16.6,7.92,2009,1,1,extreme
2009-10,2009-10-24,14:40:47,-6.18,130.50633,156.2,7.2,2009,10,4,very strong
2009-11,2009-11-08,19:41:48,-8.33,118.70244,38.1,6.72,2009,11,4,strong
2009-12,2009-12-23,01:11:59,-1.45,99.35364,25,6.32,2009,12,4,strong
2009-2,2009-02-11,17:34:56,3.85,126.68887,63.5,7.22,2009,2,1,very strong
2009-3,2009-03-16,14:15:59,3.73,126.84933,61.2,6.25,2009,3,1,strong
2009-4,2009-04-04,05:32:01,5.04,127.10918,88.5,6.38,2009,4,2,strong
2009-5,2009-05-28,08:42:59,-0.33,115.36898,10,5.99,2009,5,2,medium
2009-6,2009-06-07,05:25:26,-8.58,118.42805,104.9,6.17,2009,6,2,strong
2009-7,2009-07-15,09:58:06,-8.92,117.97038,243.8,7.02,2009,7,3,very strong
2009-8,2009-08-16,07:38:22,-1.55,99.40868,12.8,6.81,2009,8,3,strong
2009-9,2009-09-30,10:16:10,-0.8,99.88089,80.8,7.74,2009,9,3,very strong
2010-1,2010-01-13,17:18:12,-0.67,133.38737,43.8,6.01,2010,1,1,strong
2010-10,NA,NA,NA,NA,NA,NA,2010,10,NA,NA
2010-11,2010-11-27,18:11:17,3.8,128.05426,85,5.82,2010,11,4,medium
2010-12,2010-12-15,11:29:32,-7.48,128.91612,151.3,6,2010,12,4,medium
2010-2,2010-02-15,21:51:49,-7.49,128.8015,133.7,6.36,2010,2,1,strong
2010-3,2010-03-14,00:57:47,-1.57,128.22342,50.2,6.78,2010,3,1,strong
2010-4,2010-04-06,22:15:03,2.24,97.1061,29.3,7.73,2010,4,2,very strong
2010-5,2010-05-01,16:34:53,-9.07,117.39813,13.6,5.15,2010,5,2,weak
2010-6,NA,NA,NA,NA,NA,NA,2010,6,NA,NA
2010-7,2010-07-24,02:11:23,0.97,99.44991,11.1,5.73,2010,7,3,medium
2010-8,2010-08-03,12:08:28,1.28,126.39149,57.2,6.23,2010,8,3,strong
2010-9,2010-09-01,16:42:29,-4.66,102.01214,22.2,4.57,2010,9,3,weak
2011-1,2011-01-17,19:20:57,-5.24,102.5342,32.2,6.2,2011,1,1,strong
2011-10,2011-10-13,03:16:31,-9.71,114.48991,73.2,6.45,2011,10,4,strong
2011-11,2011-11-14,04:05:12,-0.96,126.93355,18.3,6.47,2011,11,4,strong
2011-12,2011-12-13,07:52:12,-0.02,123.17435,161.3,6.17,2011,12,4,strong
2011-2,2011-02-10,14:39:28,4.16,123.04769,533.7,6.1,2011,2,1,strong
2011-3,2011-03-10,17:08:36,-7.01,116.79317,518.7,6.16,2011,3,1,strong
2011-4,2011-04-03,20:06:40,-9.84,107.68466,10,6.65,2011,4,2,strong
2011-5,2011-05-01,05:21:50,2.67,97.58987,32.2,4.47,2011,5,2,weak
2011-6,2011-06-27,16:47:15,-9.28,122.46221,139.4,5.65,2011,6,2,medium
2011-7,2011-07-12,21:06:14,-6.12,130.51382,145.1,5.89,2011,7,3,medium
2011-8,2011-08-30,06:57:41,-6.41,126.75043,468.8,6.71,2011,8,3,strong
2011-9,2011-09-05,17:55:11,2.78,97.9352,89,6.64,2011,9,3,strong
2012-1,2012-01-01,18:09:06,4.46,96.49042,10,5.15,2012,1,1,weak
2012-10,NA,NA,NA,NA,NA,NA,2012,10,NA,NA
2012-11,NA,NA,NA,NA,NA,NA,2012,11,NA,NA
2012-12,NA,NA,NA,NA,NA,NA,2012,12,NA,NA
2012-2,NA,NA,NA,NA,NA,NA,2012,2,NA,NA
2012-3,NA,NA,NA,NA,NA,NA,2012,3,NA,NA
2012-4,2012-04-21,01:16:52,-1.64,134.39342,12.1,6.63,2012,4,2,strong
2012-5,2012-05-31,23:01:03,-0.94,133.25917,27.2,5.62,2012,5,2,medium
2012-6,2012-06-23,04:34:53,2.87,97.87924,92.5,6.31,2012,6,2,strong
2012-7,2012-07-25,00:27:44,2.52,96.11926,10,6.11,2012,7,3,strong
2012-8,2012-08-26,15:05:38,2.21,126.83231,93.8,6.6,2012,8,3,strong
2012-9,2012-09-01,11:02:59,-0.1,123.34196,123.2,4.73,2012,9,3,weak
2013-1,2013-01-21,22:22:54,4.77,95.9932,10,5.87,2013,1,1,medium
2013-10,NA,NA,NA,NA,NA,NA,2013,10,NA,NA
2013-11,NA,NA,NA,NA,NA,NA,2013,11,NA,NA
2013-12,2013-12-29,15:37:39,1.41,126.34869,47.4,5.67,2013,12,4,medium
2013-2,2013-02-16,04:37:39,5.72,125.86176,121.4,6,2013,2,1,medium
2013-3,2013-03-26,17:23:59,-9.6,120.33724,68.1,5.34,2013,3,1,weak
2013-4,2013-04-06,04:42:36,-3.48,138.532,64.2,7.24,2013,4,2,very strong
2013-5,2013-05-25,10:32:56,-7.96,128.02081,87.9,5.53,2013,5,2,medium
2013-6,2013-06-13,16:47:24,-9.94,107.21595,10,6.75,2013,6,2,strong
2013-7,2013-07-16,23:27:20,-6.5,126.33743,423,6.41,2013,7,3,strong
2013-8,2013-08-22,06:58:29,-4.12,115.26659,10,6.57,2013,8,3,strong
2013-9,2013-09-01,11:52:32,-7.67,128.31184,135.6,6.41,2013,9,3,strong
2014-1,2014-01-25,05:14:21,-8.22,109.22315,79.5,6.24,2014,1,1,strong
2014-10,NA,NA,NA,NA,NA,NA,2014,10,NA,NA
2014-11,NA,NA,NA,NA,NA,NA,2014,11,NA,NA
2014-12,2014-12-21,11:34:14,2.11,126.65051,44.8,6.33,2014,12,4,strong
2014-2,2014-02-03,22:36:43,-7.09,128.27483,39.7,5.54,2014,2,1,medium
2014-3,2014-03-01,05:22:30,4.29,126.05083,150.4,4.91,2014,3,1,weak
2014-4,2014-04-29,22:22:34,-6.45,130.83253,100.8,4.91,2014,4,2,weak
2014-5,2014-05-02,08:43:36,-3.74,127.54784,45.7,5.75,2014,5,2,medium
2014-6,2014-06-19,00:51:17,-2.9,102.27219,175.5,5.48,2014,6,2,medium
2014-7,2014-07-14,08:00:02,5.72,126.51413,50,6.13,2014,7,3,strong
2014-8,2014-08-06,11:45:25,-7.32,128.15674,19.9,6.22,2014,8,3,strong
2014-9,2014-09-01,17:02:42,2.31,126.82335,69,4.91,2014,9,3,weak
2015-1,2015-01-12,20:25:13,-5.62,133.79976,10,5.87,2015,1,1,medium
2015-10,2015-10-23,22:03:23,-2.19,138.28177,13.4,5.6,2015,10,4,medium
2015-11,2015-11-04,03:44:16,-8.28,124.9324,23.4,6.44,2015,11,4,strong
2015-12,2015-12-09,10:21:51,-4.05,129.54832,56.6,6.83,2015,12,4,strong
2015-2,2015-02-27,13:45:04,-7.39,122.50729,547,6.8,2015,2,1,strong
2015-3,2015-03-17,22:12:30,1.72,126.50556,64.2,6.24,2015,3,1,strong
2015-4,2015-04-01,09:35:57,-6.98,132.48528,13.8,5.67,2015,4,2,medium
2015-5,2015-05-08,03:12:22,1.4,97.7308,42.3,5.93,2015,5,2,medium
2015-6,2015-06-15,17:40:58,-9.74,125.07997,45.5,5.79,2015,6,2,medium
2015-7,2015-07-27,21:41:21,-2.75,138.54538,51,6.94,2015,7,3,very strong
2015-8,2015-08-20,11:00:12,0.48,126.5946,65.6,5.73,2015,8,3,medium
2015-9,2015-09-16,07:40:59,1.92,126.57101,50.5,6.29,2015,9,3,strong
2016-1,2016-01-11,16:38:11,3.78,126.88472,61.5,6.41,2016,1,1,strong
2016-10,2016-10-19,00:26:00,-4.98,108.15541,614.3,6.3,2016,10,4,strong
2016-11,2016-11-16,02:11:13,-2.39,110.2403,163,6.39,2016,11,4,strong
2016-12,2016-12-29,22:30:20,-9.17,118.61434,100.5,6.55,2016,12,4,strong
2016-2,2016-02-12,10:02:25,-9.86,119.31564,54.3,6.16,2016,2,1,strong
2016-3,2016-03-19,08:51:25,-5.57,129.47552,273.8,5.57,2016,3,1,medium
2016-4,2016-04-06,14:45:32,-8.09,107.4052,54.2,5.98,2016,4,2,medium
2016-5,2016-05-01,06:54:21,4.66,126.39939,70.4,4.49,2016,5,2,weak
2016-6,2016-06-14,22:09:29,-4.69,137.9798,39.7,5.5,2016,6,2,medium
2016-7,2016-07-31,23:40:02,-8.24,117.86948,22.2,5.7,2016,7,3,medium
2016-8,2016-08-23,19:39:44,-7.32,122.42661,529,6.01,2016,8,3,strong
2016-9,2016-09-17,01:20:20,-2.06,140.65271,24.6,5.9,2016,9,3,medium
2017-1,2017-01-10,06:13:47,4.39,122.58222,629.1,7.23,2017,1,1,very strong
2017-10,2017-10-24,10:47:46,-7.3,123.0437,551.7,6.72,2017,10,4,strong
2017-11,2017-11-18,16:07:05,2.51,128.17926,38.6,5.71,2017,11,4,medium
2017-12,2017-12-15,16:47:58,-7.73,108.10251,114.8,6.49,2017,12,4,strong
2017-2,2017-02-15,19:47:10,5.19,96.16055,27,5.41,2017,2,1,medium
2017-3,2017-03-21,23:10:26,-8.74,115.20251,121.9,5.66,2017,3,1,medium
2017-4,2017-04-28,20:23:17,5.45,125.00315,10,7.12,2017,4,2,very strong
2017-5,2017-05-29,14:35:23,-1.29,120.43671,11.1,6.55,2017,5,2,strong
2017-6,2017-06-11,23:15:10,-8.2,106.27358,45.3,5.7,2017,6,2,medium
2017-7,2017-07-15,12:12:21,0.45,122.05587,118.7,5.95,2017,7,3,medium
2017-8,2017-08-13,03:08:13,-3.68,101.70123,57.6,6.45,2017,8,3,strong
2017-9,2017-09-20,23:59:24,-6.16,112.94695,591.5,5.75,2017,9,3,medium
2018-1,2018-01-23,06:34:54,-7.13,106.03945,46.2,6.09,2018,1,1,strong
2018-10,2018-10-02,00:16:47,-10.52,120.17703,42.9,5.97,2018,10,4,medium
2018-10,2018-10-10,18:44:56,-7.46,114.43592,12,5.97,2018,10,4,medium
2018-11,2018-11-29,20:21:45,0.23,97.07088,14.1,5.75,2018,11,4,medium
2018-12,2018-12-29,03:39:12,5.88,126.82014,74.9,7.07,2018,12,4,very strong
2018-2,2018-02-27,00:29:58,4.24,114.54295,10,6.4,2018,2,1,strong
2018-3,2018-03-25,20:14:47,-6.73,129.72885,172.4,6.8,2018,3,1,strong
2018-4,2018-04-17,02:52:37,-3.52,131.28703,20.3,5.51,2018,4,2,medium
2018-5,2018-05-16,02:12:16,-3.69,138.65813,87.4,5.6,2018,5,2,medium
2018-6,2018-06-12,23:08:29,-2,98.76179,13.3,5.78,2018,6,2,medium
2018-7,2018-07-28,17:07:22,-7.23,122.68873,582.9,5.89,2018,7,3,medium
2018-8,2018-08-17,15:35:02,-7.43,119.79978,541.5,6.36,2018,8,3,strong
2018-9,2018-09-14,15:50:14,-2.75,138.87189,28.7,5.99,2018,9,3,medium
2019-1,2019-01-06,17:27:20,2.34,126.7533,55.7,6.63,2019,1,1,strong
2019-10,2019-10-14,22:23:55,-4.57,101.11917,37.4,5.94,2019,10,4,medium
2019-11,2019-11-14,16:17:43,1.66,126.36888,62.1,7.05,2019,11,4,very strong
2019-12,2019-12-05,12:24:45,5.4,126.78887,62.3,5.69,2019,12,4,medium
2019-2,2019-02-02,09:27:34,-2.88,100.0313,20.2,6.06,2019,2,1,strong
2019-3,2019-03-24,04:37:35,1.72,126.39165,47,6.14,2019,3,1,strong
2019-4,2019-04-12,11:40:49,-1.89,122.52518,10,6.89,2019,4,2,strong
2019-5,2019-05-04,21:02:11,2.01,123.6648,347.4,5.72,2019,5,2,medium
2019-6,2019-06-24,02:53:40,-6.44,129.19879,219.4,7.29,2019,6,2,very strong
2019-7,2019-07-06,06:25:05,-2.44,122.33049,10,5.72,2019,7,3,medium
2019-8,2019-08-04,18:08:24,-0.4,123.04462,55.5,5.35,2019,8,3,weak
2019-9,2019-09-25,23:46:44,-3.42,128.45097,10,6.64,2019,9,3,strong
2020-1,2020-01-19,16:58:20,-0.1,123.86312,129.1,6.15,2020,1,1,strong
2020-10,2020-10-25,00:56:47,-8.21,107.84026,68.3,5.64,2020,10,4,medium
2020-11,2020-11-26,05:10:09,1.1,123.76692,610.1,6.06,2020,11,4,strong
2020-11,2020-11-26,05:10:09,1.1,123.76692,610.1,6.06,2020,11,4,strong
